DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1145/3539736,,,"A Survey on IoT Profiling, Fingerprinting, and Identification","The proliferation of heterogeneous Internet of things (IoT) devices connected to the Internet produces several operational and security challenges, such as monitoring, detecting, and recognizing millions of interconnected IoT devices. Network and system administrators must correctly identify which devices are functional, need security updates, or are vulnerable to specific attacks. IoT profiling is an emerging technique to identify and validate the connected devices’ specific behaviour and isolate the suspected and vulnerable devices within the network for further monitoring. This paper provides a comprehensive review of various IoT device profiling methods and provides a clear taxonomy for IoT profiling techniques based on different security perspectives. We first investigate several current IoT device profiling techniques and their applications. Next, we analyzed various IoT device vulnerabilities, outlined multiple features, and provided detailed information to implement profiling algorithms’ risk assessment/mitigation stage. By reviewing approaches for profiling IoT devices, we identify various state-of-the-art methods that organizations of different domains can implement to satisfy profiling needs. Furthermore, this paper also discusses several machine learning and deep learning algorithms utilized for IoT device profiling. Finally, we discuss challenges and future research possibilities in this domain.","Miraqa Safi,Miraqa Safi,Sajjad Dadkhah,Sajjad Dadkhah,Farzaneh Shoeleh,Farzaneh Shoeleh,Hassan Mahdikhani,Hassan Mahdikhani,Heather Molyneaux,Heather Molyneaux,Ali A. Ghorbani,Ali A. Ghorbani",ACM transactions on the internet of things,2022
10.1109/jiot.2017.2694844,,,A Survey on Security and Privacy Issues in Internet-of-Things,"Internet-of-Things (IoT) are everywhere in our daily life. They are used in our homes, in hospitals, deployed outside to control and report the changes in environment, prevent fires, and many more beneficial functionality. However, all those benefits can come of huge risks of privacy loss and security issues. To secure the IoT devices, many research works have been conducted to countermeasure those problems and find a better way to eliminate those risks, or at least minimize their effects on the user’s privacy and security requirements. The survey consists of four segments. The first segment will explore the most relevant limitations of IoT devices and their solutions. The second one will present the classification of IoT attacks. The next segment will focus on the mechanisms and architectures for authentication and access control. The last segment will analyze the security issues in different layers.","Yuchen Yang,Yuchen Yang,Longfei Wu,Longfei Wu,Guisheng Yin,Guisheng Yin,Guisheng Yin,Guisheng Yin,Lijie Li,Lijie Li,Haiquan Zhao,Hongbin Zhao",IEEE Internet of Things Journal,2017
10.1109/comst.2015.2444095,,,"Internet of Things: A Survey on Enabling Technologies, Protocols, and Applications","This paper provides an overview of the Internet of Things (IoT) with emphasis on enabling technologies, protocols, and application issues. The IoT is enabled by the latest developments in RFID, smart sensors, communication technologies, and Internet protocols. The basic premise is to have smart sensors collaborate directly without human involvement to deliver a new class of applications. The current revolution in Internet, mobile, and machine-to-machine (M2M) technologies can be seen as the first phase of the IoT. In the coming years, the IoT is expected to bridge diverse technologies to enable new applications by connecting physical objects together in support of intelligent decision making. This paper starts by providing a horizontal overview of the IoT. Then, we give an overview of some technical details that pertain to the IoT enabling technologies, protocols, and applications. Compared to other survey papers in the field, our objective is to provide a more thorough summary of the most relevant protocols and application issues to enable researchers and application developers to get up to speed quickly on how the different protocols fit together to deliver desired functionalities without having to go through RFCs and the standards specifications. We also provide an overview of some of the key IoT challenges presented in the recent literature and provide a summary of related research work. Moreover, we explore the relation between the IoT and other emerging technologies including big data analytics and cloud and fog computing. We also present the need for better horizontal integration among IoT services. Finally, we present detailed service use-cases to illustrate how the different protocols presented in the paper fit together to deliver desired IoT services.","Ala Al-Fuqaha,Ala Al-Fuqaha,Mohsen Guizani,Mohsen Guizani,Mehdi Mohammadi,Mehdi Mohammadi,Mohammed Aledhari,Mohammed Aledhari,Moussa Ayyash,Moussa Ayyash",IEEE Communications Surveys and Tutorials,2015
10.1109/iccs59700.2023.10335558,,,"Exploring the Programming Model, Security Vulnerabilities, and Usability of ESP8266 and ESP32 Platforms for IoT Development","This paper delves into the programming model of the ESP8266 and ESP32 platforms, examining their compatibility with diverse programming languages and development environments. It also investigates the potential exploitation of these SoCs in malicious cyberattacks using freely available software projects. To highlight the security risks, a proof of concept is presented, demonstrating how malicious features can be integrated into IoT systems based on these platforms. Furthermore, the paper provides a critical discussion on security enhancement decisions that can be employed when adopting IoT devices.By thoroughly exploring the programming models, compatibility, and security vulnerabilities of ESP8266 and ESP32, this research contributes to a deeper understanding of the capabilities and limitations of these platforms in IoT development. The findings serve as a valuable resource for developers and stakeholders involved in IoT projects, informing them about the potential security challenges and aiding in the implementation of effective security measures to mitigate risks and ensure the secure deployment of IoT devices based on ESP8266 and ESP32 platforms.","Nabil Litayem,Ahmed Al-Sa’di",International Conference on Conceptual Structures,2023
10.1109/spw59333.2023.00033,,,ESPwn32: Hacking with ESP32 System-on-Chips,"In this paper, we analyze the ESP32 from a wireless security perspective. We reverse engineer the hardware and software components dedicated to Bluetooth Low Energy (BLE) on the ESP32 and ANT protocol on Nordic Semiconductors' nRF chips. Exploiting this, we then implement multiple attacks on the repurposed ESP32 targeting various wireless protocols, including ones not natively supported by the chip. We make link-layer attacks on BLE (fuzzing, jamming) and cross-protocol injections, with only software modifications. We also attack proprietary protocols on commercial devices like keyboards and ANT-based sports monitoring devices. Finally, we show the ESP32 can be repurposed to interact with Zigbee or Thread devices. In summary, we show that accessing low-level, non-documented features of the ESP32 can allow, possibly compromised, devices to mount attacks across many IoT devices.","Romain Cayre,Damien Cauquil,Aurélien Francillon",2023 IEEE Security and Privacy Workshops (SPW),2023
10.28925/2663-4023.2019.6.7181,,,Testing the Security ESP32 Internet of Things Devices,"The physical model of a handmade IoT system that includes device for measuring temperature based on ESP32, WiFi home network and web interface was proposed and implemented upon laboratory scale. The result of the experiment based on this model to attempt to gain unauthorized access to the transmitted data was successful. Attack scenario was formulated and consist of four stages: gaining unauthorized access to a network, network traffic interception and analysis, create fake ESP32 client and disconnecting original ESP32 from a server. It is shown that the attacker, who has the basic knowledge and skills in working with common wireless network hacking tools and a basic knowledge of ESP32 and ESP32 programming skills can access the system and send fake information to the web interface. To reduce the probability of the proposed scenario it is recommended to use TCP instead of UDP.","Oleksii Barybin,Oleksii Barybin,Oleksii Barybin,Elina Zaitseva,Elina Zaitseva,Elina Zaitseva,Volodymyr Brazhnyi,Volodymyr Brazhnyi",International Scientific-Practical Conference Problems of Infocommunications Science and Technology,2019
10.1109/jiot.2019.2935189,,,IoT: Internet of Threats? A Survey of Practical Security Vulnerabilities in Real IoT Devices,"The Internet of Things (IoT) is rapidly spreading, reaching a multitude of different domains, including personal health care, environmental monitoring, home automation, smart mobility, and Industry 4.0. As a consequence, more and more IoT devices are being deployed in a variety of public and private environments, progressively becoming common objects of everyday life. It is hence apparent that, in such a scenario, cybersecurity becomes critical to avoid threats like leakage of sensible information, denial of service (DoS) attacks, unauthorized network access, and so on. Unfortunately, many low-end IoT commercial products do not usually support strong security mechanisms, and can hence be target of—or even means for—a number of security attacks. The aim of this article is to provide a broad overview of the security risks in the IoT sector and to discuss some possible counteractions. To this end, after a general introduction to security in the IoT domain, we discuss the specific security mechanisms adopted by the most popular IoT communication protocols. Then, we report and analyze some of the attacks against real IoT devices reported in the literature, in order to point out the current security weaknesses of commercial IoT solutions and remark the importance of considering security as an integral part in the design of IoT systems. We conclude this article with a reasoned comparison of the considered IoT technologies with respect to a set of qualifying security attributes, namely integrity, anonymity, confidentiality, privacy, access control, authentication, authorization, resilience, self organization.","Francesca Meneghello,Francesca Meneghello,Matteo Calore,Matteo Calore,Daniel Zucchetto,Daniel Zucchetto,Michele Polese,Michele Polese,Andréa Zanella,Andrea Zanella",IEEE Internet of Things Journal,2019
10.48550/arxiv.2308.13141,,2308.13141,"A Large-Scale Study of IoT Security Weaknesses and Vulnerabilities in
  the Wild","Internet of Things (IoT) is defined as the connection between places and physical objects (i.e., things) over the internet/network via smart computing devices. We observed that IoT software developers share solutions to programming questions as code examples on three Stack Exchange Q&A sites: Stack Overflow (SO), Arduino, and Raspberry Pi. Previous research studies found vulnerabilities/weaknesses in C/C++ code examples shared in Stack Overflow. However, the studies did not investigate C/C++ code examples related to IoT. The studies investigated SO code examples only. In this paper, we conduct a large-scale empirical study of all IoT C/C++ code examples shared in the three Stack Exchange sites, i.e., SO, Arduino, and Raspberry Pi. From the 11,329 obtained code snippets from the three sites, we identify 29 distinct CWE (Common Weakness Enumeration) types in 609 snippets. These CWE types can be categorized into 8 general weakness categories, and we observe that evaluation, memory, and initialization related weaknesses are the most common to be introduced by users when posting programming solutions. Furthermore, we find that 39.58% of the vulnerable code snippets contain instances of CWE types that can be mapped to real-world occurrences of those CWE types (i.e. CVE instances). The most number vulnerable IoT code examples was found in Arduino, followed by SO, and Raspberry Pi. Memory type vulnerabilities are on the rise in the sites. For example, from the 3595 mapped CVE instances, we find that 28.99% result in Denial of Service (DoS) errors, which is particularly harmful for network reliant IoT devices such as smart cars. Our study results can guide various IoT stakeholders to be aware of such vulnerable IoT code examples and to inform IoT researchers during their development of tools that can help prevent developers the sharing of such vulnerable code examples in the sites. [Abridged].","Madhu Selvaraj,Gias Uddin",ACM Transactions on Software Engineering and Methodology,2023
10.1109/iotsms59855.2023.10325725,,,Exploring the Vulnerabilities of IoT Devices: A Comprehensive Analysis of Mirai and Bashlite Attack Vectors,"Our paper provides crucial insights into IoT device security, emphasizing the need for risk mitigation on the edge. This research not only raises security awareness among manufacturers, developers, and end-users, but also guides the development of better defense mechanisms and security protocols for IoT devices, including edge computing environments. The findings can influence policy and regulation, leading to the creation of security guidelines and standards for IoT manufacturers, ensuring robust protection even at the network periphery. This research fosters a safer environment for IoT growth in various sectors, educates users on potential risks and steps to secure their devices, and underscores the importance of edge security. Moreover, the study stimulates further research in the field, advancing the collective understanding of attack vectors and development of novel security solutions that cater to the unique challenges of edge computing.","Seth Barrett,Bradley Boswell,Gokila Dorai","2023 10th International Conference on Internet of Things: Systems, Management and Security (IOTSMS)",2023
10.1109/percom59722.2024.10494466,,2401.12184,Is Your Kettle Smarter Than a Hacker? A Scalable Tool for Assessing Replay Attack Vulnerabilities on Consumer IoT Devices,"Consumer Internet of Things (IoT) devices often leverage the local network to communicate with the corresponding companion app or other devices. This has benefits in terms of efficiency since it offloads the cloud. ENISA and NIST security guidelines underscore the importance of enabling default local communication for safety and reliability. Indeed, an IoT device should continue to function in case the cloud connection is not available. While the security of cloud-device connections is typically strengthened through the usage of standard protocols, local connectivity security is frequently overlooked. Neglecting the security of local communication opens doors to various threats, including replay attacks. In this paper, we investigate this class of attacks by designing a systematic methodology for automatically testing IoT devices vulnerability to replay attacks. Specifically, we propose a tool, named REPLIoT, able to test whether a replay attack is successful or not, without prior knowledge of the target devices. We perform thousands of automated experiments using popular commercial devices spanning various vendors and categories. Notably, our study reveals that among these devices, 51% of them do not support local connectivity, thus they are not compliant with the reliability and safety requirements of the ENISA/NIST guidelines. We find that 75% of the remaining devices are vulnerable to replay attacks with REPLIoT having a detection accuracy of 0.98-1. Finally, we investigate the possible causes of this vulnerability, discussing possible mitigation strategies.","Sara Lazzaro,Vincenzo De Angelis,A. Mandalari,Francesco Buccafurri",Annual IEEE International Conference on Pervasive Computing and Communications,2024
